5.E.8,"BL' B U F' L B L' B' F U' B' BL"
5.E.9,"F R U B' R' B R U' R' F'"
5.O.1,"R B D BL' L' D L D' BL B D' B R'"
5.O.2,"L R' F R L' U' R' L F L' R"
5.O.3,"R' L F' L' R U L R' F' R L'"
5.O.4,"B' R BR B' D B D' BR' B R'"
5.O.5,"R' L F L' R L R' F' L' R"
5.O.6,"L' B' D' BR D' R D R' BR' D B L"
5.O.7,"B L' BL' B D' B' D BL B' L"
5.O.8,"B' R' D' F L D' L' D F' D R B"
5.O.9,"L R' F' R L' R' L F R L'"
6a.E.1,"B' D' B' F' L' B' L B F D B'"
6a.E.2,"B' R BR R BR' B' BR R' BR' B' R'"
6a.E.3,"BR U' D R D R' U D' L' D' BR' L"
6a.E.4,"R B' BR' B R' U R B' BR' R' B"
6a.E.5,"BL' B U L' B L B' U' B' BL"
6a.E.6,"B' R BR' B R' B' R BR R' B"
6a.E.7,"R' L F' R' D R D' F R L'"
6a.E.8,"R' L R L' U' F' L B L' B' F"
6a.E.9,"B' U' B L' BL' B BL L B'"
6a.O.1,"L R' F' R L' R' L F L' R"
6a.O.2,"B' U' D L B L' B' U D' B"
6a.O.3,"F D' F L' B L B' F' D F'"
6a.O.4,"L F' D B' D B D F R' L' R"
6a.O.5,"B U' B U B L' B' L U' B' U B'"
6a.O.6,"BR L D L D' BR' L"
6a.O.7,"L B L' B' U' B L' B' R' L' R L'"
6a.O.8,"B L' BL' L' D L D' BL L B'"
6a.O.9,"BR R BR' B' R' B R BR R' BR'"
6b.E.1,"R B BL B' R' B BL' B R B R'"
6b.E.2,"R BR' D BL' D L' D' L BL D' BR R'"
6b.E.3,"B L' BL' L' BL B BL' L BL B L"
6b.E.4,"B L' BL' D L' D' L BL B' L"
6b.E.5,"B U B' R BR B' BR' R' B"
6b.E.6,"B U' L D L' U' L' D' L U' B'"
6b.E.7,"L' B BL B' L U' L' B BL L B'"
6b.E.8,"L' B BL' B' L B L' BL B' L"
6b.E.9,"B' BL U' R B' R' B U BL' B"
6b.O.1,"R' L F L' R L R' F' R L'"
6b.O.2,"F' D F' R B' R' B F D' F"
6b.O.3,"B U D' R' B' R B U' D B'"
6b.O.4,"R' B' R B U B' R B L R L' R"
6b.O.5,"BL' L' BL B L B' L' BL' L BL"
6b.O.6,"B' R BR R D' R' D BR' R' B"
6b.O.7,"L R' F R L' U' R' L F R L'"
6b.O.8,"R' BL' D' R' D R' BL"
6b.O.9,"B' U B' U' B' R B R' U B U' B"
6c.E.1,"L B' R B R' B L' B'"
6c.E.2,"L' BL D' R D' R' D' BL' L"
6c.E.3,"R BR' D L' D L D BR R'"
6c.E.4,"R B BL' B R' B' BL B'"
6c.E.5,"L' B' D' B' D L B'"
6c.E.6,"R B' D' R' U' R D R' U B"
6c.E.7,"L F' L B L' F L' B'"
6c.E.8,"L' B D L U L' D' L U' B'"
6c.E.9,"R B D B D' R' B"
6c.O.1,"L R' F R L' R' L F' L' R"
6c.O.2,"B' R B' F' L' B' L F R'"
6c.O.3,"B L' B F R B R' F' L"
6c.O.4,"B' BR' B L' B' BR B' L B'"
6c.O.5,"B' BR' B L' B' BR' B' L B BR' B"
6c.O.6,"L R' F' D R' D' R F R L'"
6c.O.7,"B BL B' R B BL' B R' B"
6c.O.8,"B L' BL L' D L D' BL' L B'"
6c.O.9,"B BL B' R B BL B R' B' BL B'"
7.E.1,"R' L F R' F L F' R F L' F R L'"
7.E.2,"B L' BL L B U' B L' BL' B BL' B' L"
7.E.3,"B' R BR' R' B' U B' R BR B' BR B R'"
7.O.1,"D B' BL U L' B L B' U' R BL' B R' D'"
7.O.2,"B L' BL' L BL' B' L U' L B BL B' L"
7.O.3,"L R' L U' F R L' R' L F' U L R"
8.E.1,"BR' R B' R' B BR U' R D' R D R"
8.E.2,"B L' B' U' L R' F' L F L' R"
8.E.3,"B' R B U R' L F R' F' R L'"
8.O.1,"B' R BR R' B D' R' L F R L' D"
8.O.2,"L R F' L D' L' D F L' R'"
8.O.3,"R' L' F R' D R D' F' R L"
